id,position
981,Youth Board Co-chair
982,iOS Full Stack Developer
983,Data Analytics Intern at the Office of the Special Advisor to the Chancellor of CUNY
984,iobeam Back End Development Intern
985,Student Teacher
986,Mechanical Engineering Intern
987,Software Engineer
988,Software Engineer
989,iOS Engineer
990,Tutor and Teaching Assistant in Computer Science
991,Software Application Engineer Intern
992,Student Fundraiser
993,Software Engineer
994,Front End Engineer
995,Full Stack Engineer
996,Software Engineer
997,Software Engineer
998,Creative Technologist
999,Presentation Layer Engineer
1000,Web Development Immersive Teaching Assistant
1001,Web Development Immersive | Web Developer
1002,Full Stack Engineer
1003,Disaster Recovery & Rebuild Program Manager: Staten Island
1004,Graduate School Fellow
1005,Secretary
1006,Managing Team (Programs)
1007,Undergraduate Researcher
1008,Instructor Teaching Assistant
1009,Technology and Multimedia Team
1010,Software Engineering Intern
1011,"Software Engineer, Trello"
1012,Software Engineer
1013,Software Engineer
1014,PitchThis
1015,Fullstack Webpack
1016,Intelligent Voter
1017,"Assistant Manager, Subsidiary Rights"
1018,Subsidiary Rights Associate
1019,Content Editor
1020,Karate Instructor
1021,Forward Deployed Software Engineer
1022,President - No Limits: Young Women in Math and STEM Student Organization
1023,ACM-W Chapter President at Stern College for Women
1024,Peer Tutor
1025,Vice President of Math - No Limits: Young Women in Math and STEM Student Organization
1026,Teacher's Assistant (TA)
1027,General Head
1028,Forward Deployed Software Engineer Intern
1029,Student Researcher
1030,Data Science Student/Researcher
1031,Participant
1032,Software Engineer
1033,Full Stack Developer - Student
1034,Technical Writer
1035,Assistant Project Manager
1036,Estimator
1037,Project Engineer
1038,Mechanical Engineering Internship
1039,Group Technology Intern
1040,Software Developer
1041,Fix Income Technology Analyst
1042,Assistant Web Designer
1043,Marketing Ambassador
1044,Software Engineer
1045,Full Stack Developer & Technical Mentor
1046,Software Development Work
1047,Technology Consultant
1048,Analyst
1049,Engineering Intern
1050,Software Development Engineer
1051,SDE Intern
1052,Program Manager Intern
1053,Software Engineer
1054,Associate Consultant / Software Developer
1055, Full Stack Web Development Student
1056,Technology & Computer Specialist
1057,Volunteer
1058,Enterprise Solution Engineer
1059,Software Engineer
1060,Full Stack Engineer
1061,Technology Analyst
1062,Software Development Intern
1063,Software Engineer
1064,Software Engineering Intern
1065,Data Science Intern
1066,Software Development Intern
1067,Advanced Analytics Intern
1068,IT Service Desk Analyst
1069,Software Engineer
1070,Frontend Engineer
1071,Software Engineer
1072,Beat Share 1.0 | Software Engineer
1073,Dragon Scaling | Backend Software Engineer
1074,Pixel Travels | Software Engineer
1075,NOC Engineer
1076,NOC Engineer/Project Coordinator
1077,NOC Technician/Customer Success
1078,Technician
1079,Law Intern
1080,Copy Editor
1081,Software Engineer
1082,Software Engineer
1083,Product Management
1084,Business Development
1085,Analyst
1086,Software Engineer
1087,Associate Software Engineer
1088,Software Engineering Intern
1089,Java Developer Intern
1090,Computer Science Teaching Assistant
1091,Undergraduate Researcher
1092,Software Engineer
1093,Software Developer
1094,Software Engineer in Residence
1095,Native English Teacher
1096,English Teacher
1097,Concierge/Driver
1098,Production/Studio Assistant
1099,Sales/Backstock Assistant Manager
1100,District Backstock Associate
1101,Senior Software Engineer
1102,Software Engineer
1103,Software Engineer
1104,Web Developer
1105,Staff Software Engineer
1106,Senior Java Developer
1107,Technical Team Lead
1108,Software Engineer
1109,Software Engineer
1110,Independent Business Owner & Developer
1111,Software Engineer
1112,CrocSQL | PSQL Query Management Web Application
1113,Mashup | Spotify Web Application
1114,Fetched | GraphQL Data Interface
1115,Deals Consultant & Product Manager
1116,Software Engineer
1117,Financial Advisor
1118,Wealth Management Intern
1119,Microservices Software Engineer - Global Business Services
1120,Full Stack Engineer
1121,Software Developer Intern
1122,Software Development Methods Head Teaching Assistant
